preds_list2[[1]]$genes	1	prob_lda	prob_svm	prob_logit	pred_lda	pred_svm	pred_logit
LOC_Os12g34154	0	0.999135935	0.177821578	0.041273598	0	0	1
LOC_Os07g17390	0	0.988430261	0.297002671	8.45E-09	0	0	1
LOC_Os03g51520	0	0.993754277	0.076658163	0.219171523	0	1	0
LOC_Os10g13970	0	0.996837058	0.070581405	2.22E-16	0	1	1
LOC_Os07g15460	0	0.617525112	0.264009376	0.651300098	0	0	0
LOC_Os01g73790	1	0.953657488	0.4376059	0.000100002	0	0	1
LOC_Os04g41260	0	0.844372803	0.708898808	0.958625078	0	0	0
LOC_Os04g50216	0	0.202458852	0.456798191	0.999999999	0	0	0
LOC_Os09g24402	0	0.993514068	0.125364964	5.67E-10	0	0	1
LOC_Os02g12730	0	0.8615914	0.731408101	0.000435015	0	0	1
LOC_Os01g69080	0	0.113530946	0.706625338	0.999999984	0	0	0
LOC_Os09g30010	0	0.769777029	0.049278916	0.994230772	0	1	0
LOC_Os01g71720	0	0.931990525	0.386255339	0.0002	0	0	1
LOC_Os06g22010	0	0.986095772	0.149611708	7.70E-15	0	0	1
LOC_Os03g06160	0	0.999452647	0.078144057	7.21E-14	0	1	1
LOC_Os02g01480	0	0.979211093	0.030850694	0.000323806	0	1	1
