preds_list2[[1]]$genes,1,prob_logit,pred_logit,pred_logit_PR
LOC_Os07g48790,0,2.22e-16,0,0
LOC_Os03g17310,0,2.22e-16,0,0
LOC_Os04g36700,0,0.988608812,1,1
LOC_Os05g33080,0,0.410876159,0,0
LOC_Os03g50340,0,0.517829842,0,0
LOC_Os06g43030,0,2.22e-16,0,0
LOC_Os03g10510,0,0.138395858,0,0
LOC_Os04g28090,0,2.22e-16,0,0
LOC_Os06g36270,0,0.012711234,0,0
LOC_Os02g22090,0,0.944922139,1,1
LOC_Os05g51480,0,0.615251464,0,0
LOC_Os04g50990,1,0.74385098,1,0
LOC_Os01g67134,0,0.999902233,1,1
LOC_Os04g23600,0,0.009049894,0,0
LOC_Os02g12810,0,0.001979506,0,0
LOC_Os07g10660,0,1.0,1,1
LOC_Os02g50630,0,0.045623375,0,0
LOC_Os03g53720,0,2.22e-16,0,0
LOC_Os02g56000,0,1.0,1,1
LOC_Os03g05820,0,0.078394944,0,0
LOC_Os05g51490,0,2.22e-16,0,0
LOC_Os02g57420,0,0.624340562,0,0
LOC_Os05g48310,0,0.0002,0,0
LOC_Os03g50350,0,0.896966466,1,1
LOC_Os01g64970,0,1.0,1,1
LOC_Os02g50970,0,0.146755715,0,0
LOC_Os02g36924,0,0.90224922,1,1
LOC_Os01g64770,0,1.0,1,1
LOC_Os04g58350,0,2.32e-16,0,0
LOC_Os02g57854,0,1.0,1,1
LOC_Os03g46330,0,0.377812695,0,0
LOC_Os01g13350,0,0.0003,0,0
LOC_Os08g28870,0,3.29e-16,0,0
LOC_Os01g51120,0,0.853147859,1,1
LOC_Os05g05240,0,2.22e-16,0,0
LOC_Os07g40930,0,0.000402638,0,0
LOC_Os02g56130,0,0.877261968,1,1
