gene,status,prob_rf,prob_logit_Ada,pred_rf,pred_logit_PR,SUM_PR
LOC_Os06g42800,0,0.473429,1,0,1,1
LOC_Os10g06760,0,0.506411,2.22E-16,0,0,0
LOC_Os12g20324,0,0.528108,0.992335841,0,1,1
LOC_Os01g13760,0,0.492041,0.113088193,0,0,0
LOC_Os08g02400,0,0.535303,0.991447775,0,1,1
LOC_Os03g46770,1,0.828569,1,1,1,2
LOC_Os05g50970,0,0.491438,0.008095742,0,0,0
LOC_Os03g27450,0,0.509581,0.000300893,0,0,0
LOC_Os09g33810,0,0.493169,0.995784417,0,1,1
LOC_Os03g03130,0,0.501399,0.292904577,0,0,0
LOC_Os09g36920,0,0.515267,1,0,1,1
LOC_Os10g39120,0,0.451527,0.688911576,0,0,0
LOC_Os12g03880,0,0.504168,0.999300348,0,1,1
LOC_Os03g05740,0,0.507302,2.22E-16,0,0,0
LOC_Os03g08640,0,0.587763,0.991003004,0,1,1
LOC_Os06g05180,0,0.525032,0.916971639,0,1,1
LOC_Os04g52270,0,0.51038,0.760363265,0,0,0
LOC_Os06g45350,0,0.480137,0.002525581,0,0,0
LOC_Os06g09850,0,0.48003,2.22E-16,0,0,0
LOC_Os01g51380,1,0.837181,0.999699402,1,1,2
LOC_Os11g40150,0,0.487365,0.010287267,0,0,0
LOC_Os07g33110,0,0.487661,0.032449097,0,0,0
LOC_Os07g38540,0,0.466322,0.641662881,0,0,0
LOC_Os03g57340,0,0.493448,2.22E-16,0,0,0
LOC_Os05g49780,1,0.839445,0.984869173,1,1,2
LOC_Os01g69130,0,0.56455,2.88E-16,0,0,0
LOC_Os05g51560,0,0.503847,0.034146282,0,0,0
LOC_Os01g61810,0,0.537816,0.034530431,0,0,0
LOC_Os05g36290,0,0.409502,0.873531155,0,1,1
LOC_Os01g64640,0,0.497657,0.563314984,0,0,0
LOC_Os01g63940,0,0.496548,0.9994001,0,1,1
LOC_Os11g32900,0,0.453474,0.0001,0,0,0
LOC_Os01g01960,0,0.505925,0.001254342,0,0,0
LOC_Os08g03640,0,0.460399,1,0,1,1
LOC_Os07g36500,0,0.490784,0.046727414,0,0,0
LOC_Os07g42820,0,0.504233,2.22E-16,0,0,0
LOC_Os05g07740,0,0.49814,2.22E-16,0,0,0
LOC_Os07g29360,0,0.489227,0.002726314,0,0,0
